All device pins and their pinmux options
Pin,Name, Selected Mode, Used By,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
77,GPIO71,UARTB_RX,myUART0,GPIO71,,EMIF1_D13,EPWM12_A,GPIO71,CANA_TX,SCIB_RX,UARTB_RX,GPIO71,MCANA_TX,,,GPIO71,SD3_D1,ESC_RX1_ERR,SPIC_CLK
78,VDD,VDD,VDD
79,VDDIO,VDDIO,VDDIO
80,GPIO72,,,GPIO72,EQEP6_STROBE,EMIF1_D12,EPWM12_B,GPIO72,OUTPUTXBAR8,UARTA_TX,,GPIO72,MCANB_RX,,,GPIO72,SD3_C1,ESC_TX1_DATA3,SPIC_PTE
81,GPIO73,EPWM5_B,PWM2,GPIO73,EQEP6_INDEX,EMIF1_D11,XCLKOUT,GPIO73,OUTPUTXBAR6,UARTA_RX,EPWM5_B,GPIO73,MCANB_TX,SD4_D4,,GPIO73,SD2_D2,ESC_TX1_DATA2,
82,GPIO78,,,GPIO78,EPWM10_A,EMIF1_D6,,GPIO78,,EQEP2_A,SD3_C2,GPIO78,,SD4_D4,,GPIO78,SD2_C4,ESC_RX0_DV,
83,GPIO80,GPIO80,ENC_B,GPIO80,EPWM11_A,EMIF1_D4,,GPIO80,ERRORSTS,EQEP2_STROBE,SD3_C3,GPIO80,,SD1_D4,,GPIO80,SD2_C1,ESC_RX0_DATA0,
84,GPIO25,GPIO25,SW,GPIO25,OUTPUTXBAR2,EQEP2_B,,GPIO25,LINB_RX,SPIB_POCI,SD2_C1,GPIO25,PMBUSA_SDA,EMIF1_DQM1,EQEP5_B,GPIO25,EPWM13_B,FSITXA_D1,ESC_RX0_DV
85,GPIO84,,,GPIO84,EPWM12_B,EMIF1_D1,EMIF1_CS4n,GPIO84,SCIA_TX,EQEP6_A,,GPIO84,SD3_D2,,UARTA_TX,GPIO84,SD3_C2,ESC_TX0_ENA,ESC_RX0_DATA3
86,GPIO85,GPIO85,LED_2_GPIO,GPIO85,EPWM13_A,EMIF1_D0,,GPIO85,SCIA_RX,EQEP6_B,SD3_D1,GPIO85,,,UARTA_RX,GPIO85,SD3_D3,ESC_TX0_CLK,EMIF1_DQM2
87,GPIO86,SCIB_TX,mySCI0,GPIO86,EPWM13_B,EMIF1_A13,EMIF1_CAS,GPIO86,SCIB_TX,EQEP6_STROBE,,GPIO86,,,,GPIO86,SD3_C3,ESC_PHY0_LINKSTATUS,
88,GPIO87,SCIB_RX,mySCI0,GPIO87,EPWM14_A,EMIF1_A14,EMIF1_RAS,GPIO87,SCIB_RX,EQEP6_INDEX,,GPIO87,EMIF1_DQM3,,,GPIO87,SD3_D4,ESC_TX0_DATA0,
89,GPIO0,CLB_OUTPUTXBAR1,myCLB_OUTPUTXBAR0,GPIO0,EPWM1_A,,,GPIO0,CLB_OUTPUTXBAR1,I2CA_SDA,,GPIO0,EMIF1_A13,ESC_GPI0,,GPIO0,FSITXA_D0,,
90,GPIO1,CLB_OUTPUTXBAR2,myCLB_OUTPUTXBAR1,GPIO1,EPWM1_B,,,GPIO1,CLB_OUTPUTXBAR2,I2CA_SCL,,GPIO1,EMIF1_A14,ESC_GPI1,,GPIO1,FSITXA_D1,,
91,GPIO2,UARTA_TX,myUART1,GPIO2,EPWM2_A,,,GPIO2,OUTPUTXBAR1,I2CB_SDA,UARTA_TX,GPIO2,EMIF1_A15,ESC_GPI2,,GPIO2,FSITXA_CLK,,
92,GPIO3,UARTA_RX,myUART1,GPIO3,EPWM2_B,OUTPUTXBAR2,,GPIO3,OUTPUTXBAR2,I2CB_SCL,UARTA_RX,GPIO3,,ESC_GPI3,,GPIO3,FSIRXA_D0,,
93,GPIO4,EPWM3_A,PWM3,GPIO4,EPWM3_A,,,GPIO4,OUTPUTXBAR3,CANA_TX,,GPIO4,MCANA_TX,ESC_GPI4,,GPIO4,FSIRXA_D1,,
94,VDDIO,VDDIO,VDDIO
95,VDD,VDD,VDD
96,GPIO89,SPID_PTE,mySPI0,GPIO89,EPWM15_A,EMIF1_A16,EMIF1_DQM1,GPIO89,,,SD1_D3,GPIO89,EMIF1_CAS,,,GPIO89,SD4_D1,ESC_TX0_DATA2,SPID_PTE
97,GPIO90,SPID_CLK,mySPI0,GPIO90,EPWM15_B,EMIF1_A17,EMIF1_DQM2,GPIO90,,,SD1_C3,GPIO90,EMIF1_RAS,,,GPIO90,SD4_C1,ESC_TX0_DATA3,SPID_CLK
98,GPIO91,SPID_PICO,mySPI0,GPIO91,EPWM16_A,EMIF1_A18,EMIF1_DQM3,GPIO91,,I2CA_SDA,SD4_D2,GPIO91,EMIF1_DQM2,PMBUSA_SCL,,GPIO91,,CLB_OUTPUTXBAR1,SPID_PICO
99,GPIO92,SPID_POCI,mySPI0,GPIO92,EPWM16_B,EMIF1_A19,EMIF1_BA1,GPIO92,,I2CA_SCL,SD4_C2,GPIO92,EMIF1_DQM0,PMBUSA_SDA,FSIRXD_CLK,GPIO92,,CLB_OUTPUTXBAR2,SPID_POCI
100,GPIO10,GPIO10,RELAY,GPIO10,EPWM6_A,EMIF1_CAS,ADCSOCBO,GPIO10,EQEP1_A,SCIB_TX,SD4_C1,GPIO10,MCANA_RX,CLB_OUTPUTXBAR5,ESC_TX0_DATA0,GPIO10,FSIRXB_D1,FSITXA_CLK,FSIRXA_D1
PAD,VSS,VSS,VSS

